# quantbench — 2026-06-02 22:56:47
# go go1.25.0, 4 cores, 6 images
# metric scale: MSE lower=better, PSNR higher=better, dE2000 lower=better

== N = 4 ==
quantizer             MSE     PSNR    meanDE     p95DE   image
kmeans[divisive/pca/rgb]/rgb/i10       7.73    39.25     2.182     4.961   napoleon.jpg
kmeans[divisive/pca/rgb]/rgb/i10       4.90    41.23     1.673     4.049   pearl.jpg
kmeans[divisive/pca/rgb]/rgb/i10      12.60    37.13     2.562     6.093   starry.jpg
kmeans[divisive/pca/rgb]/rgb/i10*       7.94    39.46     2.152     5.031   [MEAN over 6, 5975ms]

kmeans[divisive/pca/oklab]/oklab/i10      11.61    37.48     2.353     5.412   athens.jpg
kmeans[divisive/pca/oklab]/oklab/i10       8.94    38.62     2.301     5.388   liberty.jpg
kmeans[divisive/pca/oklab]/oklab/i10       4.28    41.81     1.683     3.498   monet.jpg
kmeans[divisive/pca/oklab]/oklab/i10       8.41    38.88     2.148     4.748   napoleon.jpg
kmeans[divisive/pca/oklab]/oklab/i10       5.25    40.93     1.618     3.897   pearl.jpg
kmeans[divisive/pca/oklab]/oklab/i10      13.65    36.78     2.611     6.096   starry.jpg
